company_symbol,company_name,transaction_date,transaction_type,purchase_quantity,total_purchase_amount,sales_quantity,total_sales_amount
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-07-24,sale,0,0.0,0,0
AHPC,Arun Valley Hydropower Development Co. Ltd.,2025-07-27,purchase,0,0.0,0,0
CHDC,CEDB Hydropower Development Company Limited,2025-07-27,purchase,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-07-27,purchase,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-07-27,purchase,0,0.0,0,0
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,2025-07-27,purchase,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-07-27,sale,0,0.0,0,0
NICL,Nepal Insurance Co. Ltd.,2025-07-27,sale,0,0.0,0,0
SMJC,Sagarmatha Jalabidhyut Company Limited,2025-07-27,sale,0,0.0,0,0
CHDC,CEDB Hydropower Development Company Limited,2025-07-28,purchase,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-07-28,sale,0,0.0,0,0
NICL,Nepal Insurance Co. Ltd.,2025-07-28,sale,0,0.0,0,0
SMJC,Sagarmatha Jalabidhyut Company Limited,2025-07-28,sale,0,0.0,0,0
SRLI,Sanima Reliance Life Insurance Limited,2025-07-28,purchase,0,0.0,0,0
CHDC,CEDB Hydropower Development Company Limited,2025-07-29,purchase,0,0.0,0,0
IGI,IGI Prudential insurance Limited,2025-07-29,purchase,0,0.0,0,0
ILI,IME Life Insurance Company Limited,2025-07-29,purchase,0,0.0,0,0
LICN,Life Insurance Corporation (Nepal) Limited,2025-07-29,purchase,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-07-29,purchase,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-07-29,purchase,0,0.0,0,0
NLG,NLG Insurance Company Ltd.,2025-07-29,purchase,0,0.0,0,0
SMJC,Sagarmatha Jalabidhyut Company Limited,2025-07-29,sale,0,0.0,0,0
SRLI,Sanima Reliance Life Insurance Limited,2025-07-29,purchase,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-07-31,sale,0,0.0,0,0
SMJC,Sagarmatha Jalabidhyut Company Limited,2025-07-31,sale,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-08-03,sale,0,0.0,0,0
